sample,sin_out,cos_out,dds_ready
0,0,32767,0
1,0,32767,0
2,0,32757,0
3,31113,-9512,1
4,-26319,-18868,1
5,-26319,18868,1
6,31113,9512,1
7,-32757,0,1
8,-9512,31113,1
9,18868,26319,1
10,18868,-26319,1
11,-9512,-31113,1
12,0,32757,1
13,31113,-9512,1
14,-26319,-18868,1
15,-26319,18868,1
16,31113,9512,1
17,-32757,0,1
18,-9512,31113,1
19,18868,26319,1
20,18868,-26319,1
21,-9512,-31113,1
22,0,32757,1
23,31113,-9512,1
24,-26319,-18868,1
25,-26319,18868,1
26,31113,9512,1
27,-32757,0,1
28,-9512,31113,1
29,18868,26319,1
30,18868,-26319,1
31,-9512,-31113,1
32,0,32757,1
33,31113,-9512,1
34,-26319,-18868,1
35,-26319,18868,1
36,31113,9512,1
37,-32757,0,1
38,-9512,31113,1
39,18868,26319,1
40,18868,-26319,1
41,-9512,-31113,1
42,0,32757,1
43,31113,-9512,1
44,-26319,-18868,1
45,-26319,18868,1
46,31113,9512,1
47,-32757,0,1
48,-9512,31113,1
49,18868,26319,1
50,18868,-26319,1
51,-9512,-31113,1
52,0,32757,1
53,31113,-9512,1
54,-26319,-18868,1
55,-26319,18868,1
56,31113,9512,1
57,-32757,0,1
58,-9512,31113,1
59,18868,26319,1
60,18868,-26319,1
61,-9512,-31113,1
62,0,32757,1
63,31113,-9512,1
64,-26319,-18868,1
65,-26319,18868,1
66,31113,9512,1
67,-32757,0,1
68,-9512,31113,1
69,18868,26319,1
70,18868,-26319,1
71,-9512,-31113,1
72,0,32757,1
73,31113,-9512,1
74,-26319,-18868,1
75,-26319,18868,1
76,31113,9512,1
77,-32757,0,1
78,-9512,31113,1
79,18868,26319,1
80,18868,-26319,1
81,-9512,-31113,1
82,0,32757,1
83,31113,-9512,1
84,-26319,-18868,1
85,-26319,18868,1
86,31113,9512,1
87,-32757,0,1
88,-9512,31113,1
89,18868,26319,1
90,18868,-26319,1
91,-9512,-31113,1
92,0,32757,1
93,31113,-9512,1
94,-26319,-18868,1
95,-26319,18868,1
96,31113,9512,1
97,-32757,0,1
98,-9512,31113,1
99,18868,26319,1
