slot_index,z_position_mm,weight_norm,slot_length_mm,slot_width_mm,offset_x_mm
1,-262.1825,0.5541391842220427,15.900099999999998,0.5710332533333334,1.8
2,-245.26749999999998,0.6022454174243356,15.900099999999998,0.5710332533333334,1.8
3,-228.3525,0.6490008453936609,15.900099999999998,0.5710332533333334,1.8
4,-211.4375,0.6940639608111339,15.900099999999998,0.5710332533333334,1.8
5,-194.52249999999998,0.7371030999077615,15.900099999999998,0.5710332533333334,1.80294888185806
6,-177.6075,0.7777993473585448,15.900099999999998,0.5710332533333334,1.8520515980531382
7,-160.6925,0.8158493393280148,15.900099999999998,0.5710332533333334,1.896811953367161
8,-143.7775,0.8509679380701408,15.900099999999998,0.5710332533333334,1.9372063924345597
9,-126.8625,0.8828907526576472,15.900099999999998,0.5710332533333334,1.9732075965848663
10,-109.94749999999999,0.9113764818398937,15.900099999999998,0.5710332533333334,2.0047868427625746
11,-93.0325,0.936209056690686,15.900099999999998,0.5710332533333334,2.031915829951114
12,-76.11749999999999,0.9571995625914973,15.900099999999998,0.5710332533333334,2.0545680984159427
13,-59.2025,0.9741879221829507,15.900099999999998,0.5710332533333334,2.0727201298841127
14,-42.287499999999994,0.9870443231874658,15.900099999999998,0.5710332533333334,2.0863521910877667
15,-25.3725,0.9956703774362343,15.900099999999998,0.5710332533333334,2.095448964898404
16,-8.4575,1.0,15.900099999999998,0.5710332533333334,2.1
17,8.4575,1.0,15.900099999999998,0.5710332533333334,2.1
18,25.3725,0.9956703774362343,15.900099999999998,0.5710332533333334,2.095448964898404
19,42.287499999999994,0.9870443231874658,15.900099999999998,0.5710332533333334,2.0863521910877667
20,59.2025,0.9741879221829507,15.900099999999998,0.5710332533333334,2.0727201298841127
21,76.11749999999999,0.9571995625914973,15.900099999999998,0.5710332533333334,2.0545680984159427
22,93.0325,0.936209056690686,15.900099999999998,0.5710332533333334,2.031915829951114
23,109.94749999999999,0.9113764818398937,15.900099999999998,0.5710332533333334,2.0047868427625746
24,126.8625,0.8828907526576472,15.900099999999998,0.5710332533333334,1.9732075965848663
25,143.7775,0.8509679380701408,15.900099999999998,0.5710332533333334,1.9372063924345597
26,160.6925,0.8158493393280148,15.900099999999998,0.5710332533333334,1.896811953367161
27,177.6075,0.7777993473585448,15.900099999999998,0.5710332533333334,1.8520515980531382
28,194.52249999999998,0.7371030999077615,15.900099999999998,0.5710332533333334,1.80294888185806
29,211.4375,0.6940639608111339,15.900099999999998,0.5710332533333334,1.8
30,228.3525,0.6490008453936609,15.900099999999998,0.5710332533333334,1.8
31,245.26749999999998,0.6022454174243356,15.900099999999998,0.5710332533333334,1.8
32,262.1825,0.5541391842220427,15.900099999999998,0.5710332533333334,1.8
